,programTitle,infoCat,region,url,description,organization,contact,page
686,['Protein Industries Canada'],[],[' Across Canada '],['https://www.proteinindustriescanada.ca/'],"['\nProtein Industries Canada (PIC) is an industry-led value chain consortium of small-to large-sized enterprises involved in food and food ingredient manufacturing, agriculture and food-related services, research and development, technology, economic development, finance and investment, education and training.\n']",['\nProtein Industries Canada\n'],['\n200-1965 Broad Street Regina Saskatchewan Canada S4P 1Y1\n1-306-949-0049\n\ninfo@proteinsupercluster.ca\n\n'],23
687,['Protein Industries Supercluster'],[],[],['https://www.ic.gc.ca/eic/site/093.nsf/eng/00012.html'],"['\nBased in the Prairies the Protein Industries Supercluster\xa0will use plant genomics and novel processing technology to increase the value of key Canadian crops, such as canola, wheat and pulses that are coveted in high-growth foreign markets, such as China and India, as well as to satisfy growing markets in North America and Europe for plant-based meat alternatives and new food products.\n']","['\nInnovation, Science and Economic Development Canada\n']",['\n\nhttps://www.proteinindustriescanada.ca/contact.html\n\n'],23
688,['Protein Innovation'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/protein/protein-innovation/index.html'],"['\nServices are available in areas such as protein extraction, co-product use, creating ingredients and products in a sustainable manner, and much more.\n']",['\nManitoba Agriculture\n'],['\n1-844-769-6224\n\nagriculture@gov.mb.ca\n\n'],23
689,['Protein Supply'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/protein/protein-supply/index.html'],['\nProtein is found in a variety of both animals and plant sources Manitoba has access to high quality and sustainable plant and animal protein production.\n'],['\nManitoba Agriculture\n'],['\n1-844-769-6224\n\nagriculture@gov.mb.ca\n\n'],23
690,['Protein Test - Nutritional Effects on Milk Composition'],[],[],['http://www2.gnb.ca/content/gnb/en/departments/10/agriculture/content/livestock/cattle/protein_test.html'],['\nInformation on milk protein testing in New Brunswick.\n'],"['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-7978\n1-506-453-2108\n1-888-622-4742\n'],23
691,['Protocol for Deadstock Disposal* by On-Farm Burial'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/environment/mortality-management/protocol-for-deadstock-disposal-by-on-farm-burial.html'],['\nProvides information the regulations concerning the burial of dead animals.\n'],['\nManitoba Agriculture and Resource Development\n'],['\nManitoba Agriculture Office\n1-844-769-6224\n\nARD@gov.mb.ca\n\n'],23
692,['Provincial Agricultural Land Commission'],[],[],['https://www.alc.gov.bc.ca/alc/content/home'],['\nThe Provincial Agricultural Land Commission (ALC) is an independent administrative tribunal dedicated to preserving agricultural land and encouraging farming in British Columbia.\n'],['\nBritish Columbia Ministry of Agriculture\n'],['\n\nALCBurnaby@Victoria1.gov.bc.ca\n\n1-604-660-7033\n1-604-660-7000\n1-800-663-7867\n'],23
693,['Provincial Disaster Assistance Program (PDAP)'],[],[],['http://www.saskatchewan.ca/PDAP#utm_campaign=q2_2015&utm_medium=short&utm_source=%2FPDAP'],"['\nFarmers and ranchers can apply for assistance with extra-ordinary feeding costs incurred by the producer and transportation costs associated with the extra-ordinary feed and/or pasture rental due to natural disasters, including flooding, tornadoes, plow winds and other disasters caused by severe weather.\xa0\n']",['\nSaskatchewan Ministry of Agriculture\n'],['\n\npdapdocs@gov.sk.ca\n\n1-306-798-2318\n1-306-787-7800\n1-866-632-4033\n'],23
694,['Provincial Grazing Reserves'],[],[],['https://www.alberta.ca/provincial-grazing-reserves.aspx'],"[""\nThe province’s grazing reserves serve multiple uses throughout the year to benefit Albertans. The main purpose of these reserves is to provide summer pasture for Alberta's farmers and ranchers on public land, enabling them to use their own land for crop and hay production.\n""]",['\nAlberta Department of Agriculture and Forestry\n'],"['\nRocky Mountain House Office\n1-780-514-3417\n', '\nMedicine Hat Office\n1-403-529-3685\n', '\nFairview Office\n1-780-835-7200\n', '\nSt Paul Office\n1-780-645-6336\n', '\nWhitecourt Office\n1-780-778-7153\n\nhttps://www.alberta.ca/provincial-grazing-reserves-contact-information-and-maps.aspx\n\n']",23
695,['Provincial Honey Bee Development Program'],[],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/'],"['\nThe Provincial Honey Bee Development Program has been initiated to facilitate growth withinthe apiculture sector of Newfoundland and Labrador, and to encourage sustainability andcolony expansion of local honey bees.\n']","['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n\nprovincialapiarist@gov.nl.ca\n\n1-709-637-2589\n1-709-637-2077\n\nhttps://www.gov.nl.ca/ffa/department/contact-abdd/#program\n\n'],23
696,['Provincial Meat Plant Decision Tree'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/food/inspection/meatinsp/decisiontree.htm'],['\nThe Provincial Meat Plant Decision Tree is a tool created which takes someone through a series of questions to help potential meat plant operators understand the compliance and regulatory framework that may apply to their business practices based on the activities they conduct.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],23
697,['Provincial Premises Registry Guidelines'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/food/foodsafety/traceability/pprguidelines.htm'],['\nThese guidelines are intended to provide details on the criteria for the operation of the PPR Program\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],23
698,['Provincial Vegetable Transplant Program'],[],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/'],['\nTo provide vegetable producers in Newfoundland and Labrador with high-quality vegetable transplants to facilitate production and increase the range of commodities being produced and support agriculture growth.\n'],"['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n1-833-891-3249\n1-709-637-8032\n\nVTP@gov.nl.ca\n\n\nhttps://www.gov.nl.ca/ffa/department/contact-agriculture-and-lands/\n\n'],23
699,['Provincial Veterinarian'],[],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/provincial-veterinarian'],['\nProvides information about the PEI Provincial Veterinarian.\n'],['\nPrince Edward Island Department of Agriculture and Fisheries\n'],['\nDr. Jill Wood\nProvincial Veterinarian\n\njswood@gov.pe.ca\n\n1-902-370-4923\n'],23
700,['Provincial and Federal COVID-19 Financial Supports for Farmers'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/facts/c19financialsupports.htm'],['\nThis infosheet provides a summary of information and links to provincial and federal financial support information. The information is current as of the publication date but subject to frequent changes.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
701,['Provincially Licensed Further Processing Plants'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/food/inspection/meatinsp/m-i-p-r/livestockproducers.htm'],['\nInformation on provincially licensed processing plants.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],24
702,['Provincially Licensed Meat Plants'],['Guides/Information'],[],['https://data.ontario.ca/en/dataset/provincially-licensed-meat-plants'],['\nListing of provincially licensed meat plants.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],24
703,['Provincially regulated animal diseases'],['Guides/Information'],[],['https://www.alberta.ca/reportable-and-notifiable-animal-diseases.aspx'],"['\nPrevention, monitoring and control of these reportable and notifiable diseases protects public and animal health in Alberta.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],24
704,['Proximity Program'],[],[],['http://www.mapaq.gouv.qc.ca/fr/Productions/md/programmesliste/developpementmarches/Pages/ProgrammeProximite.aspx'],['\nBringing agricultural producers and artisanal processors closer to consumers by developing and consolidating local marketing initiatives that meet consumer needs.\n'],"['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-418-380-2110\n1-888-222-6272\n'],24
705,['Pruning Fruit Trees'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/00-005.htm'],['\nInformation on pruning fruit trees.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],24
706,['Psychological Support Resources for Farmers'],[],[],['https://www.mapaq.gouv.qc.ca/fr/md/Organismes/Pages/ressources-aide-psychologique.aspx'],['\nProvides mental health information and resources for farmers.\n'],['\nQuebec Ministry of Agriculture\n'],"['\nFarmer Assistance Program\n\nreception@optimasanteglobale.com\n\n1-833-368-8301\n', '\nAt the heart of farming families\n1-450-768-6995\n\ninfo@acfareseaux.qc.ca\n\n']",24
707,['Public Agriculture Literacy'],[],[],['https://cap.alberta.ca/CAP/program/PUBLIC_LITERACY'],"[""\nSupports initiatives that build industry communication capacity to increase public and consumers' awareness and understanding of agriculture and the food production system.\n""]",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nDiana Bingham\n\nCAP.PublicTrust@gov.ab.ca\n\n1-780-427-3980\n'],24
708,['Public Land Grazing Rent and Assignment Fee'],['Guides/Information'],[],['https://www.alberta.ca/public-land-grazing-rent-and-assignment-fee.aspx'],"['\nThe Government of Alberta has modernized grazing leases, licence and permits rental rate and fee framework.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],24
709,['Public Markets of Montréal'],['Guides/Information'],[],['https://www.marchespublics-mtl.com/en/'],['\nProvides information about the various public markets held in Montréal.\n'],['\nPublic Markets of Montréal\n'],"['\n155, av. Greene, 3e étage, Montréal, QU, H4C 2H6\n1-514-937-7754\n1-514-937-7688\n']",24
710,['Public Trust and Agricultural Awareness'],[],[],['http://www2.gnb.ca/content/gnb/en/services/services_renderer.200880.html'],"['\nTo provide funds to accelerate the adoption and implementation of recognized food safety assurance systems, including food safety, biosecurity, traceability and animal welfare in the production, processing, transportation and distribution of New Brunswick Agri-Food products.\n']","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-7406\n1-506-453-2666\n1-888-622-4742\n'],24
711,['Publications Catalogue'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/products/'],"['\nOMAFRA offers a wide variety of publications, including factsheets, books, CDs and maps, about Ontario agriculture.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-800-668-9938\n'],24
712,['Publications Saskatchewan - Agriculture'],['Guides/Information'],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/programs-and-services/information-services-for-agribusiness-farmers-and-ranchers/agriculture-publications-sign-up-form'],['\nFind publications related to Agriculture in Saskatchewan.\xa0\n'],['\nSaskatchewan Ministry of Agriculture\n'],['\n\npublications@gov.sk.ca\n\n1-866-457-2377\n'],24
713,['Publications and Proceedings'],[],[],['https://www.gov.mb.ca/agriculture/markets-and-statistics/publications-and-proceedings/index.html'],['\nProvides information on publications and proceedings.\n'],['\nManitoba Agriculture and Resource Development\n'],['\nManitoba Agriculture Office\n1-844-769-6224\n\nindustryintelligence@gov.mb.ca\n\n'],24
714,['Pulse Canada'],[],[' Across Canada '],['http://www.pulsecanada.com/'],"['\nThe Pulse Program was created by the global pulse industry as a way to share information on pulse nutrition, health, sustainability, processing, applications and consumer insights with stakeholders.\n']",['\nPulse Canada\n'],['\n1-204 925-4455\n1-204 925-4454\n\nhello@pulsecanada.com\n\n'],24
715,['Pulse Crops'],['Guides/Information'],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/crops-and-irrigation/field-crops/pulse-crop-bean-chickpea-faba-bean-lentils'],['\nOverviews of pulse crops grown in Saskatchewan along production and marketing information.\n'],['\nSaskatchewan Ministry of Agriculture\n'],['\n1-866-457-2377\n1-306-694-3938\n'],24
716,['Purchasing Honey Bees or Equipment in Alberta'],['Guides/Information'],[],['https://open.alberta.ca/publications/purchasing-honey-bees-or-equipment-in-alberta'],"['\nAimed at anyone planning to purchase honey bees or beekeeping equipment in Alberta, this resource outlines important questions to ask and things to consider covering: policy, disease and management.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],24
717,['Purebred Sheep Breeders Association of Nova Scotia'],[],[],['https://www.sheepnovascotia.ns.ca/'],['\nWorks to improve the quality and promote the sale of purebred sheep in Nova Scotia.\n'],['\nPurebred Sheep Breeders Association of Nova Scotia\n'],"['\nP.O. Box 550, Truro, NS, B2N 5E3\n\nhttps://www.sheepnovascotia.ns.ca/contact/\n\n']",24
718,['Quantum computing for climate'],[],[' Across Canada '],['https://ised-isde.canada.ca/site/innovative-solutions-canada/en/quantum-computing-climate'],"['\nWe are seeking innovations that can help lead the way to net-zero carbon and climate-resiliency, while also reducing environmental impacts beyond carbon, including on waste, water and biodiversity.\n']","['\nInnovation, Science and Economic Development Canada\n']",['\n\nsolutions@ised-isde.gc.ca.\n\n\nhttps://www.ic.gc.ca/eic/site/101.nsf/frm-eng/LCOE-BEZHPN\n\n'],24
719,"[""Quebec Farmers' Association""]",[],[],['https://quebecfarmers.org/'],['\nAdvocates on behalf of the English-speaking agricultural community in Quebec.\n'],"[""\nQuebec Farmers' Association\n""]","['\n555 Boul. Roland-Therrien, Office 255, Longueuil, QC, J4H 4E7\n1-450-679-0540\n1-450-463-5291\n\nqfa@upa.qc.ca\n\n']",24
720,['Quebec Fisheries Fund'],[],[],['https://www.mapaq.gouv.qc.ca/fr/Peche/md/Programmes/Pages/Fonds-des-peches-du-Quebec.aspx'],['\nThe Quebec Fisheries Fund will stimulate innovation in Quebec’s fish and seafood sector and support its development and adaptation\n'],"['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-888-222-6272\n\nFondsPechesQuebec@mapaq.gouv.qc.ca .\n\n'],24
721,['Quebec Grain Producers'],[],[],['http://www.pgq.ca/'],"['\nQuebec Grain Producers represents the interests of some 11,000 grain producers in 14 affiliated unions. Les Producteurs de grains du Québec cultivates 941,000 hectares of land, representing farm revenues of $1.1 billion. Quebec farms produce and market mainly cereal grains (corn, wheat, barley, oats) and oilseeds (soybean, canola).\n']",['\nQuebec Grain Producers\n'],['\n450-679-0540\n\ninfo@pgq.ca\n\n\nhttp://www.pgq.ca/contactez-nous/\n\n'],24
722,['Quebec Health Attestation Program for Salmonid-Producing Fish Farms'],[],[],['http://www.mapaq.gouv.qc.ca/fr/Peche/md/Programmes/Pages/Programmequebecoisattestationsanitaireexploitationspiscicolesproductricessalmonides.aspx'],"['\nThis program offers Quebec fish farms the opportunity to produce and offer fish, namely eggs, alevins, fish and broodstock.\n']","['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n\nanimaux@mapaq.gouv.qc.ca\n\n1-418-380-2110\n1-888-222-6272\n'],24
723,['Quebec Herd Review Program (PATBQ)'],['Guides/Information'],[],['http://www.mapaq.gouv.qc.ca/fr/Productions/md/Services/Pages/programmedanalysedestroupeauxdeboucherieduQuebec.aspx'],"['\nThis program is a cutting-edge bovine practice zootechnical system that improves the productivity, efficiency and profitability of beef cattle herds in Quebec and offers a flexible, modern and unique genetic selection and evaluation tool for beef cattle in the Americas.\n']","['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n\npatbqservice@cdpq.ca\n\n1-877-266-0130\n'],24
724,['Quebec Pig Breeders'],[],[],['https://www.leseleveursdeporcsduquebec.com/'],"['\nWe are proud to serve pork farmers in Quebec, in collaboration with pork sector and community stakeholders.\n']",['\nQuebec Pig Breeders\n'],['\n450-679-0540\n450-679-0102\n\nleseleveursdeporcs@leseleveursdeporcs.quebec\n\n'],24
725,['Quebec Produce Marketing Association'],[],[],['https://aqdfl.ca/en/'],"['\nPromotes consumption of fruits and vegetables, and provides members with information and support.\n']",['\nQuebec Produce Marketing Association\n'],"['\n9252 boulevard Pie-IX, Montréal, Quebec H1Z 4H7\n\ninfo@aqdfl.ca\n\n1-514-355-9876\n1-514-355-4330\n']",24
726,['Quebec Research and Development Centre'],[],[],['https://profils-profiles.science.gc.ca/en/research-centre/quebec-research-and-development-centre'],['\nThe SCRDC leads research in the areas of - perennial crop production systems and Bioproducts; and environmental performance of perennial and short-season crops and cropping systems.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.quebecrdc-crdquebec.aac@agr.gc.ca\n\n1-418-657-7980\n1-613-773-2600\n'],24
727,['Questions to Ask Before Buying or Leasing Farmland'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/business-and-economics/business-management/questions-to-ask-before-buying-or-leasing-farmland.html'],"['\nWith current low interest rates and more cash on hand, many producers are thinking about buying more farm land.\xa0Before you decide, make sure you have a thorough financial plan and that you consider the pros and cons of both options.\n']",['\nManitoba Agriculture\n'],['\n1-844-769-6224\n\nagriculture@gov.mb.ca\n\n\nhttps://www.gov.mb.ca/agriculture/business-and-economics/farm-business-management-contacts.html\n\n'],24
728,['Quick Start PED Control for Provincial Meat Processors'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/food/inspection/ahw/PEDcontrol.htm'],['\nInformation on Porcine Epidemic Diarrhea\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
729,['Québec 4-H'],[],[],['https://www.quebec4-h.com/'],['\nProvides programs that help youth develop life skills.\n'],['\nQuébec 4-H\n'],"['\nJacqueline Morrison\n21,111 Lakeshore Road, Ste-Anne-de-Bellevue, QC, H9X 3V9\n1-514-398-8738\n1-514-398-8652\n\nprogram@quebec4-h.com\n\n']",24
730,['Québec Angus'],[],[],['https://www.cdnangus.ca/quebec-angus-association/'],"['\nProvides information on where to buy, and upcoming events related to the industry.\n']",['\nQuébec Angus\n'],"['\n217 rte Adams, Durham-Sud, QC, J0H 2C0\n1-418-784-2311\n\nquebecangus@live.ca\n\n']",24
731,"[""Québec Blueberry Growers' Union""]",[],[],['https://perlebleue.ca/'],"['\nPromotes the marketing and sale of blueberries, and supports the social and economic interests of blueberry producers in Québec.\n']","[""\nQuébec Blueberry Growers' Union\n""]","[""\n112, de l'Église, Suite 207, Dolbeau-Mistassini, QU, G8L 4W4\n1-418-276-6336\n1-888-788-0760\n\ngdube@spbq.ca\n\n""]",24
732,['Québec Cranberry Growers Association'],[],[],['http://www.notrecanneberge.com/Home'],['\nPromotes and defends the interests of cranberry growers in the public sector and governmental organizations in Canada and abroad.\n'],['\nQuebec Cranberry Growers Association\n'],"[""\n859 Ancienne route de l'Église Notre-Dame-de-Lourdes, QU, G0S 1T0\n\ninfo@notrecanneberge.com\n\n1-819-385-4111\n1-819-385-4242\n""]",24
733,['Québec Egg Producers'],[],[],['https://oeuf.ca/'],['\nRepresents egg producers in Québec.\n'],['\nQuébec Egg Producers\n'],"['\nMaison de l’UPA, 555, boul. Roland-Therrien, Bureau 320, Longueuil, QC, J4H 4E7\n1-450-679-0530\n1-450-679-0855\n\nhttps://oeuf.ca/contact/\n\n']",24
734,['Québec Forage Council'],[],[],['https://www.cqpf.ca/en'],['\nRepresents the forage industry in Quebec.\n'],['\nQuébec Forage Council\n'],"['\n8550, Émilien Letarte, Saint-Hyacinthe, QU, J2R 0A3\n\ninfo@cqpf.ca\n\n']",24
735,['Québec Institute for the Development of Ornamental Horticulture'],[],[],['https://iqdho.com/'],"['\nOffers services and activities for growers, garden centres, and others in the ornamental industry.\n']",['\nQuébec Institute for the Development of Ornamental Horticulture\n'],"['\n3230, rue Sicotte, E-308, St-Hyacinthe, QU, J2S 2M2\n1-450-778-6514\n1-450-778-6537\n\ninfo@iqdho.com\n\n']",24
736,['Québec Produce Growers Association'],[],[],['https://apmquebec.com/en/'],"['\nPromotes the interests and development of the horticulture industry, and provides services to its members.\n']",['\nQuébec Produce Growers Association\n'],"['\n9244 boulevard Pie-IX Montreal, (Quebec) H1Z 4H7 Canada\n\napmq@apmquebec.com\n\n1-514-387-1406\n1-514-387-8319\n']",24
737,['Québec Union of Agricultural Producers'],[],[],['https://www.upa.qc.ca/en/'],"[""\nPromotes the professional, economic, social, and moral interests of Québec's farmers and forestry producers.\n""]",['\nQuébec Union of Agricultural Producers\n'],"['\n555, Roland-Therrien Blvd, Bureau 100, Longueuil, QU, J4H 3Y9\n1-450-679-0530\n']",24
738,['R & D and Innovation Projects Supported by the Programs'],[],[],['http://www.mapaq.gouv.qc.ca/fr/md/RDinnovation/Pages/projets.aspx'],"['\nA table of projects, both current and those completed since 2005, contains summary information and links to summaries of projects funded through various programs.\n']","['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n\ninnovaction@mapaq.gouv.qc.ca\n\n1-418-380-2103\n'],24
739,['Rabbit Farming'],['Guides/Information'],[],['https://www.quebec.ca/agriculture-environnement-et-ressources-naturelles/agriculture/industrie-agricole-au-quebec/productions-agricoles/elevage-lapins-cuniculture'],['\nProvides information on rabbit farming.\n'],"['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-418-380-2110\n1-888-222-6272\n'],24
740,['Rabies'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/animal-health-and-welfare/animal-health/rabies.html'],['\nProvides information to ensure adequate protection against public exposure to rabies.\n'],['\nManitoba Agriculture and Resource Development\n'],['\n\nchiefveterinaryoffice@gov.mb.ca\n\n1-204-945-7684\n'],24
741,['Rabies'],[],[],['http://www2.gnb.ca/content/gnb/en/departments/10/rabies.html'],['\nRabies is deadly for wild animals and family pets. The disease can also kill people if they are exposed to rabies and are not treated promptly.\n'],"['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-7918\n1-506-453-5412\n1-888-622-4742\n'],24
742,['Rabies'],['Guides/Information'],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/animals/health/rabies/'],['\nRabies Information in Newfoundland and Labrador.\n'],"['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n1-709-637-2589\n1-709-637-2077\n'],24
743,['Rabies Response Program'],['Guides/Information'],[],['http://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/livestock/animal-health-and-welfare/rabies'],['\nProvides rabies testing to protect the health and safety of the Saskatchewan human and domestic animal populations.\n'],['\nSaskatchewan Ministry of Agriculture\n'],['\n\nRRAV@gov.sk.ca\n\n1-844-772-2437\n'],24
744,['Raspberries and Blackberries for Home Gardens'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/99-033.htm'],['\nThis factsheet contains information on raspberries and blackberries for home gardens.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
745,['Raspberry Replant Program'],[],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/programs/raspberry-replant-program'],['\nThe goal of the Raspberry Replant Program is to increase the amount of acreage planted with raspberry varieties suitable for fresh and Individually Quick Frozen (IQF) raspberry markets.\n'],['\nBritish Columbia Ministry of Agriculture\n'],['\n1-888-221-7141\n\nraspberryreplantprogram@gov.bc.ca\n\n'],24
746,['Raspberry Variety Descriptions'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/raspvarc.htm'],['\nThis page contains description of raspberry varieties.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
747,['Rat Control Program'],[],[],['https://sarm.ca/programs/rat-control-program/'],"['\nSaskatchewan Association of Rural Municipalities will administer a new rat control program to provide financial assistance to rural municipalities, First Nations Bands south of the Northern Administrative District.\n']",['\nSaskatchewan Ministry of Agriculture\n'],['\nAnnette Ellert\n\naellert@sarm.ca\n\n1-306-761-3744\n1-800-667-3604\n'],24
748,['Re-establishing Forages in Winter Feeding and Yard Areas'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/livestock/beef/news/vbn0207a2.htm'],['\nInformation on re-establishing forages in winter feeding and yard areas.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],24
749,['Ready-To-Eat Fruit and Vegetable Packing House Initiative'],[],[],['http://www.omafra.gov.on.ca/english/cap/readytoeat.htm'],['\nThe Initiative will support businesses to implement microbial detection and interventions and improve packing house environment and sanitary design.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n\nagpartnership@ontario.ca.\n\n'],24
750,['Really Local Harvest'],[],[],['https://www.recoltedecheznous.com/home'],['\nPromotes the development of sustainable agriculture in southeastern New Brunswick.\n'],['\nReally Local Harvest\n'],"['\nMaxime Gauvin\n232 Gauvin Road, Dieppe, NB, E1A 1M1\n1-506-317-0321\n\ninfo@recoltedecheznous.com\n\n']",24
751,['Recall procedure: A Guide for Food Businesses'],['Guides/Information'],[' Across Canada '],['https://www.inspection.gc.ca/food/food-safety-and-emergency-response/recall-procedure/eng/1535516097375/1535516168226'],['\nThe Canadian Food Inspection Agency (CFIA) created this guidance to help you prepare a recall procedure to carry out effective recalls.\n'],['\nCanadian Food Inspection Agency (CFIA)\n'],"['\n1400 Merivale Road, Ottawa, ON, K1A 0Y9\n613-773-2342\n1-800-442-2342\n1-800-465-7735\n']",24
752,['Recognizing Leaf Diseases in Strawberries'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/hort/news/hortmatt/2015/19hrt15a4.htm'],['\nInformation on recognizing leaf diseases in strawberries\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
753,['Recommendation for Harvest and Storage of Pears'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/12-041.htm'],['\nThis factsheet provides recommendations\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
754,['Recommended Apple Varieties for Ontario'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/aplrec.htm'],['\nRecommended apple varieties for Ontario.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
755,['Recommended Berry Varieties for Ontario'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/berryrec.htm'],['\nList of suggested berry varieties.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
756,['Recommended Management Practices for Agricultural Irrigation Ponds'],['Guides/Information'],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/recommended-management-practices-agricultural-irrigation-ponds'],['\nThese practices serve to help the agricultural community continue to be environmentally and socially responsible and gain maximum return from their investment.\n'],['\nPrince Edward Island Department of Agriculture and Land\n'],"['\n1-866-734-3276\n', '\n\npeiextension@gov.pe.ca\n\n']",24
757,['Reconnaissance soil surveys'],['Guides/Information'],[],['https://www.gov.nl.ca/ffa/faa/agrifoods/land/soils/soilsurvey/#rss'],['\nA reconnaissance type of survey is designed to provide information for planning agricultural activities within Agricultural Development Areas and identifying areas for farm expansion and establishment of new farms.\n'],"['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n1-709-637-2586\n1-709-637-2081\n'],24
